date,precip
20180516,13.134
20180517,10.288
20180518,13.572
20180519,4.253
20180520,28.387
20180521,8.604
20180522,19.838
20180523,20.144
20180524,23.229
20180525,11.871
20180526,4.194
20180527,6.011
20180528,3.517
20180529,0.554
20180530,0.283
20180531,1.033
20180601,2.296
20180602,5.251
20180603,3.108
20180604,3.338
20180605,1.056
20180606,4.519
20180607,6.207
20180608,1.843
20180609,3.364
20180610,1.791
20180611,0.729
20180612,0.465
